ask_code,topic,en,ko,ru,zh,mn,zh_py,note
vh036,vh,"booty, game",수렵물,охотничья добыча,猎物,ан амьтан,lie4 wu4,
vh037,vh,chase,추격하다(동물을+),преследовать (животного),追踪(+猎物),мөшгих,zhui1 zong1 (+ lie4 wu4),
vh040,vh,trap,덫,ловушка,猎套,хавх,lie4 tao4,
vh041,vh,hare,토끼(산+),заяц,兔子,туулай,tu4 zi,
vh046,vh,tiger,호랑이,тигр,老虎,бар,lao3 hu3,
vh049,vh,marten,담비(흑담비),"соболь, куница",貉子,булга,hao2 zi,
vh051,vh,rat,쥐,крыса,老鼠,хулгана,lao3 shu3,
vk002,vk,horse,말(馬),лошадь,马(骑马的+),морь,ma3 (qi2 ma3 de +),
vk005,vk,,종마,жеребец,种马,азарга,zhong3 ma3,
vk011,vk,tail,꼬리,хвост,尾巴,сүүл,wei3 ba,
vk017,vk,ride,타고가다(말을+),ехать (верхом на лошади),骑(骑马的+),морь унаад явах,qi2 (qi2 ma3 de +),
vk018,vk,circle,우리(가축의+),загон,圈(羊圈的+),хот хороо,juan4 (yang2 juan4 de +),
vk023,vk,cattle,소,корова,牛(黄牛的+),үхэр,niu2 (huang2 niu2 de +),
vk030,vk,sheep,면양,овца,绵羊,хонь,mian2 yang2,
vk034,vk,goat,염소,коза,山羊,ямаа,shan1 yang2,
vk043,vk,pig,돼지,свинья,猪(猪肉的+),гахай,zhu1 (zhu1 rou4 de +),
vk044,vk,dog,개,собака,狗(小狗的+),нохой,gou3 (xiao3 gou3 de +),
vk045,vk,cat,고양이,кошка,猫(小花猫的+),муур,mao1 (xiao3 hua1 mao1 de +),
vk048,vk,feed,먹이다,кормить,喂(喂东西吃的+),идүүлэх,wei4 (wei4 dong1 xi chi1 de +),
vk051,vk,prey,사료,корм,饲料,малын тэжээл,si4 liao4,
vk052,vk,hay,꼴(草),фураж,干草,хадлан,gan1 cao3,
vk055,vk,"herd, flock",떼/무리,стадо,群(一群羊的+),сүрэг,qun2 (yi4 qun2 yang2 de +),
vk058,vk,horn,뿔,рог,角(动物头上的+),эвэр,jiao3 (dong4 wu4 tou2 shang de +),
vk059,vk,"fur, wool",털(동물의+),шерсть,毛(动物身上的+),үс,mao2 (dong4 wu4 shen1 shang de +),
vo001,vo,chicken,닭,курица,鸡(公鸡的+),тахиа,ji1 (gong1 ji1 de +),
vo005,vo,bird,새,птица,鸟(小鸟儿的+),шувуу,niao3 (xiao3 niao3r de +),
vo009,vo,pheasant,꿩,фазан,野鸡,гургуул,ye3 ji1,
vo023,vo,hawk,매,ястреб,老鹰,харцага,lao3 ying1,
vo026,vo,wing,날개,крыло,翅膀,жигүүр,chi4 bang3,
vo030,vo,nest,둥지,гнездо,巢(鸟巢的+),шувууны үүр,chao2 (niao3 chao2 de+ ),
vi001,vi,fish,물고기,рыба,鱼(金鱼的+),загас,yu2 (jin1 yu2 de +),
ve001,ve,worm,벌레,червяк,虫(虫子的+),хорхой,chong2 (chong2 zi de +),
ve006,ve,ant,개미,муравей,蚂蚁,шоргоолж,ma3 yi3,
ve009,ve,mosquito,모기,комар,蚊子,шумуул,wen2 zi,
ve013,ve,snake,뱀,змея,蛇(毒蛇的+),могой,she2 (du2 she2 de +),
ve016,ve,frog,개구리,лягушка,蛙(青蛙的+),мэлхий,wa1 (qing1 wa1 de +),
vv002,vv,tree,나무,дерево,树(大树的+),мод,shu4 (da4 shu4 de +),
vv005,vv,pine (tree),소나무,сосна,松树,нарс,song1 shu4,
vv006,vv,willow,버드나무,ива,柳树,бургас/уд мод,liu3 shu4,
vv008,vv,poplar,포플러/사시나무/백양나무,тополь,杨树,улиангар мод,yang2 shu4,
vv010,vv,oak,참나무,дуб,柞树,царс,zuo4 shu4,
vv015,vv,grass,풀,трава,草(小草的+),өвс,cao3 (xiao3 cao3 de +),
vv020,vv,bark,나무껍질,кора (дерева),树皮,холтос,shu4 pi2,
vv025,vv,flower,꽃,цветок,花(玫瑰花的+),цэцэг,hua1 (mei2 gui hua1 de +),
vv026,vv,seed,종자,семя,种子,үр,zhong3 zi,
vv027,vv,leaf,잎,лист,叶子,навч,ye4 zi,
vv028,vv,branch,나뭇가지,ветка,树枝,модны мөчир,shu4 zhi1,
vj002,vj,gold,금,золото,金(金子的+),алт,jin1 (jin1 zi de+),
vj003,vj,silver,은,серебро,银(银子的+),мөнгө,yin2 (yin2 zi de +),
vj004,vj,copper,동(銅),медь,铜(铜器的＋),зэс,tong2 (tong2 qi4 de +),
vj005,vj,iron,쇠,железо,铁(铁棍的+),төмөр,tie3 (tie3 gun4 de +),
vd001,vd,east,동(東),восток,东(东西南北的+),"зүүн, дорно",dong1 (dong1 xi1 nan2 bei3 de+),
vd002,vd,west,서,запад,西(东西南北的+),"баруун, өрнө",xi1 (dong1 xi1 nan2 bei3 de +),
vd003,vd,south,남,юг,南(东西南北的+),"өмнө, урд",nan2 (dong1 xi1 nan2 bei3 de +),
vd004,vd,north,북(北),север,北(东西南北的+),"хойд, умар",bei3 (dong1 xi1 nan2 bei3 de +),
vd009,vd,in,안(집+에),в доме,里(家里的+),дотор,li3 (jia1 li de +),
vd010,vd,outside,밖(집+에),вне дома,外(门外的+),гадна,wai4 (men2 wai4 de+),
vd016,vd,center,가운데,в центре,中(中间的+),дунд,zhong1 (zhong1 jian1 de +),
vd020,vd,"by, beside",옆(집+),рядом с домом,旁边,хажуу,pang2 bian1,
vd021,vd,close by,곁(내+),рядышком со мной,近旁,дэргэд,jin4 pang2,
vd024,vd,above,위(집+),над домом,上(屋顶上的+),дээр,shang4 (wu1ding3 shang4 de +),
vd025,vd,under,아래(다리+),под мостом,下(大桥下的+),доор,xia4 (da4 qiao2 xia4 de +),
vd032,vd,to the left,왼쪽으로,налево,往左,зүүн тийш,wang3 zuo3,
vd033,vd,to the right,오른쪽으로,направо,往右,баруун тийш,wang3 you4,
vd034,vd,on the left,왼쪽에,слева,在左边,зүүн талд,zai4 zuo3 bian,
vd035,vd,on the right,오른쪽에,справа,在右边,баруун талд,zai4 you4 bian,
vd036,vd,here,여기,здесь,这里,энд,zhe4 li,
vd037,vd,there,저기/거기,там,那里,тэнд,na4 li,
vd038,vd,this way,이리로,сюда,往这边,ийшээ,wang3 zhe4 bian,
vd039,vd,that way,저리로,туда,往那边,тийшээ,wang3 na4 bian,
vd044,vd,front,앞/앞쪽,впереди,前面/前边,өмнө,qian2 mian /qian2 bian,
vd045,vd,back,뒤/뒤쪽,сзади,后面/后边,хойд,hou4 mian /hou4 bian,
vd046,vd,in the front of a house,집 앞,перед домом,房前,гэрийн урд,fang2 qian2,
vd047,vd,behind a house,집 뒤,за домом,房后,гэрийн ар,fang2 hou4,
vd048,vd,forward,앞으로,вперёд,往前,урагш,wang3 qian2,
vd049,vd,backward,뒤로,назад,往后,хойш,wang3 hou4,
vq007,vq,one,일(一),один,一,нэг,yi1,
vq008,vq,two,이(二),два,二,хоёр,er4,
vq010,vq,four,사,четыре,四,дөрөв,si4,
vq011,vq,five,오,пять,五,тав,wu3,
vq012,vq,six,육,шесть,六,зургаа,liu4,
vq013,vq,seven,칠,семь,七,долоо,qi1,
vq014,vq,eight,팔(八),восемь,八,найм,ba1,
vq015,vq,nine,구,девять,九,ес,jiu3,
vq016,vq,ten,십,десять,十,арав,shi2,
vq019,vq,thirteen,십삼,тринадцать,十三,арван гурав,shi2 san1,
vq021,vq,fifteen,십오,пятнадцать,十五,арван тав,shi2 wu3,
vq026,vq,twenty,이십,двадцать,二十,хорь,er4 shi2,
vq028,vq,thirty,삼십,тридцать,三十,гуч,san1 shi2,
vq029,vq,forty,사십,сорок,四十,дөч,si4 shi2,
vq030,vq,fifty,오십,пятьдесят,五十,тавь,wu3 shi2,
vq031,vq,sixty,육십,шестьдесят,六十,жар,liu4 shi2,
vq032,vq,seventy,칠십,семьдесят,七十,дал,qi1 shi2,
vq033,vq,eighty,팔십,восемьдесят,八十,ная,ba1 shi2,
vq034,vq,ninety,구십,девяносто,九十,ер,jiu3 shi2,
vq035,vq,hundred,백,сто,一百,зуу,yi4 bai3,
vq038,vq,thousand,천(千),тысяча,一千,мянга,yi4 qian1,
vq041,vq,ten thousand,만,десять тысяч,一万,"арван мянга, түм",yi2 wan4,
vq048,vq,how many,몇 개,сколько штук,几个,хэдэн,ji3 ge,
vq049,vq,"how many, how much",얼마,сколько,多少(多少人的+),хичнээн,duo1 shao (duo1 shao ren2 de +),
vq051,vq,first,첫째,первый,第一,нэгдүгээр,di4 yi1,
vq062,vq,the last,마지막,последний,最后,сүүлчийн,zui4 hou4,
vq063,vq,one person,한 사람,один человек,一个人,нэг хүн,yi2 ge ren2,
vq066,vq,once,한 번,(один) раз,一次,нэг удаа,yi2 ci4,
vq067,vq,twice,두 번,два раза,两次,хоёр удаа,liang2 ci4,
vq070,vq,one by one,한 개씩,по одному,各一个,нэг нэгээр,ge4 yi2 ge,
vq071,vq,in groups of two,두 개씩,по два,各两个,хоёр хоёроор,ge4 liang3 ge,
vq076,vq,more than,이상(10+),больше 10,以上,арваас дээш,yi3 shang4,
vq077,vq,less than,이하(10+),меньше 10,以下,арваас доош,yi3 xia4,
vq079,vq,half,절반,половина,一半儿,хагас,yi2 ban4r,
vq083,vq,all,모두/다,"всё, все",都/全,бүгд,dou1 /quan2,
vq084,vq,"many, much",많다,много,多(太多了的+),олон,duo1 (tai4 duo1 le de +),
vq085,vq,little,적다,мало,少,цөөн,shao3,
vq086,vq,some,조금,немного,一些/一点儿,"бага, жаахан",yi4 xie1/yi4 dian3r,
vq094,vq,length,길이,длина,长短,урт,chang2 duan3,
vq096,vq,height,높이,высота,高度,өндөр,gao1 du4,
vq097,vq,"area, dimensions",넓이,площадь,宽度,өргөн,kuan1 du4,
vq098,vq,weight,무게,вес,重量,хүндийн жин,zhong4 liang,
vp001,vp,I,나,я,我,би,wo3,
vp003,vp,we (excl.),우리(청자 미포함),мы (не включая собеседника),我们,бид,wo3 men,
vp006,vp,you,너,ты,你,чи,ni3,
vp012,vp,he,그,он,他(男人的+),тэр,ta1 (nan2 ren2 de +),
vp013,vp,she,그녀,она,她(女人的+),тэр,ta1 (nv3 ren2 de +),
vp018,vp,they,그들,они (мужчины),他们(男人的+),,ta1 men (nan2 ren2 de +),
vp021,vp,this,이것,это,这个,энэ,zhe4 ge,
vp022,vp,these (ones),이것들,эти,这些,эд,zhe4 xie1,
vp025,vp,how,어떻게,как,怎么样/怎样,яаж,zen3 me yang4 /zen3 yang4,
vp026,vp,where,어디,где,哪里,хаана,na3 li,
vp027,vp,where (direction),어느쪽,куда,哪边,хаашаа,na3 bian1,
vp028,vp,this,이(+집/+나무/+방),"этот (дом), это (дерево), эта (комната)",这(这是我家的+),энэ,zhe4 (zhe4 shi4 wo3 jia1 de +),
vp030,vp,Why did you come here?,왜(+왔습니까?),Почему (вы пришли?),为什么,яагаад,wei4 shen2 me,
vp032,vp,who,누구,кто,谁(你是谁的+),хэн,shei2 (ni3 shi4 shei2 de +),
vp033,vp,what,무엇,что,什么(这是什么的+),юу,shen2 me (zhe4 shi4 shen2 me de +),
vp034,vp,whose,누구의,чей,谁的(这是谁的笔+),хэний,shei2 de (zhe4 shi4 shei2 de bi3 de +),
vp038,vp,"which, what",어느/어떤,какой,哪(哪国人的+),ямар,na3 (na3 guo2 ren2 de +),
vp046,vp,another person,남/타인,чужой,別人,бусад хүн,bie2 ren,
vn001,vn,large,크다,большой,大,том,da4,
vn003,vn,"small, little",작다,маленький (о размере),小,бага,xiao3,
vn005,vn,high,높다,высокий,高(高低的+),өндөр,gao1 (gao1 di1 de +),
vn006,vn,low,낮다,низкий,低(高低的+),нам,di1 (gao1 di1 de +),
vn007,vn,long,길다,длинный,长(长短的+),урт,chang2 (chang2 duan3 de +),
vn008,vn,short (adj.),짧다,короткий,短(长短的+),богино,duan3 (chang2 duan3 de +),
vn009,vn,distant,멀다,далёкий,远(远近的+),хол,yuan3 (yuan3 jin4 de +),
vn010,vn,near,가깝다,близкий,近(远近的+),ойр,jin4 (yuan3 jin4 de +),
vn011,vn,deep,깊다,глубокий,深(深浅的+),гүн,shen1 (shen1 qian3 de +),
vn012,vn,shallow (adj.),얕다,мелкий (напр. речка),浅(深浅的+),гүехэн,qian3 (shen1 qian3 de +),
vn013,vn,thick,두껍다,толстый (напр. журнал),厚(厚薄的+),зузаан,hou4 (hou4 bao2 de +),
vn014,vn,thin,얇다,тонкий (напр. журнал),薄(厚薄的+),нимгэн,bao2 (hou4 bao2 de +),
vn015,vn,"thick, big",굵다,толстый (напр. палка),粗(粗细的+),бүдүүн,cu1 (cu1 xi4 de +),
vn016,vn,"slim, slender",가늘다,тонкий (напр. палка),细(粗细的+),нарийн,xi4 (cu1 xi4 de +),
vn017,vn,heavy,무겁다,тяжёлый,重(轻重的+),хүнд,zhong4 (qing1 zhong4 de +),
vn018,vn,light,가볍다,лёгкий (напр. ноша),轻(轻重的+),хөнгөн,qing1 (qing1 zhong4 de +),
vn019,vn,fast,빠르다,быстрый,快(快慢的+),хурдан,kuai4 (kuai4 man4 de +),
vn020,vn,slow,느리다(속도가+),медленный,慢(快慢的+),удаан,man4 (kuai4 man4 de +),
vn022,vn,hot (weather),덥다,жарко,热(冷热的+),(бүгчим) халуун,re4 (leng3 re4 de +),
vn023,vn,cold (weather),춥다,холодно (о погоде),冷(冷热的+),хүйтэн,leng3 (leng3 re4 de +),
vn025,vn,cold,차다,холодный (о воде),凉(水凉了的+),хүйтэн,liang2 (shui3 liang2 le de +),
vn030,vn,new,새롭다,новый,新(新旧的+),шинэ,xin1 (xin1 jiu4 de +),
vn031,vn,old (sth),낡다(옷이+),старый (напр. одежда),旧(新旧的+),хуучин,jiu4 (xin1 jiu4 de +),
vn033,vn,old (sb),늙다,старый (человек),老(老人的+),хөгшин,lao3 (lao3 ren2 de +),
vn034,vn,young,젊다,молодой,年轻,залуу,nian2 qing1,
vn035,vn,genuine,진짜의,подлинный,真(真假的+),үнэн,zhen1(zhen1 jia3 de +),
vn036,vn,"false, fake",가짜의,фальшивый,假(假面具的+),худал,jia3 (jia3 mian4 ju4 de+),
vn037,vn,good,좋다,хороший,好(好坏的+),сайн,hao3 (hao3 huai4 de +),
vn038,vn,bad,나쁘다,плохой,坏(坏人的+),муу,huai4 (huai4 ren2 de +),
vn049,vn,easy,쉽다,лёгкий (напр. задача),容易,амар,rong2 yi,
vn056,vn,wide,넓다(너비),широкий,宽(宽阔的+),өргөн,kuan1 (kuai1 kuo4 de +),
vn057,vn,narrow,좁다(너비),узкий,窄(宽窄的+),нарийн,zhai3 (kuan1 zhai3 de +),
vn058,vn,expensive,비싸다,дорогой,贵(太贵了的+),үнэтэй,gui4 (tai4 gui4 le de +),
vn059,vn,cheap,싸다,дешёвый,便宜,хямд,pian2 yi,
vn072,vn,smart,똑똑하다,умный,聪明/英明,ухаантай,cong1 ming /ying1 ming2,
vn073,vn,stupid,어리석다,глупый,愚蠢,мунхаг,yu2 chun3,
vn078,vn,red,붉다/빨갛다,красный,红,улаан,hong2,
vn079,vn,yellow,노랗다,жёлтый,黄,шар,huang2,
vn080,vn,blue,파랗다,синий,蓝(海蓝色的+),хөх,lan2 (hai3 lan2 se4 de +),
vn081,vn,white,희다,белый,白色,цагаан,bai2 se4,
vn082,vn,black,검다,чёрный,黑色,хар,hei1 se4,
vn083,vn,green,초록,зелёный,绿色,ногоон,lv4 se4,
vn097,vn,straight,곧다,прямой,直(直线的+),шулуун,zhi2 (zhi2 xian4 de +),
vn099,vn,bend,굽다(曲),согнутый,弯/曲(弯曲的+),бөгтийх,wan1 /qu1 (wan1 qu1 de +),
vn108,vn,"hard, solid",단단하다,твёрдый,硬(软硬的+),хатуу,ying4 (ruan3 ying4 de +),
vn109,vn,soft,물렁물렁하다/부드럽다,мягкий (напр. мягкий хлеб),软(软硬的+),зөөлөн,ruan3 (ruan3 ying4 de +),
vn115,vn,light,밝다,светлый,亮(光亮的+),гэгээтэй,liang4 (guang1 liang4 de +),
vn116,vn,dark,어둡다,тёмный,暗(阴暗的+),харанхуй,an4 (yin1 an4 de +),
vn125,vn,clean,깨끗하다,чистый,干净,цэвэр,gan1 jing4,
vn126,vn,dirty,더럽다,грязный,脏(脏衣服的+),бузар,zang1 (zang1 yi1 fu de +),
vn127,vn,moist,젖은,мокрый,湿(潮湿的+),нойтон,shi1 (chao2 shi1 de +),
vn128,vn,dry,마른,сухой,干(干燥的+),хуурай,gan1 (gan1 zao4 de +),
vn129,vn,tall,크다(키가+),высокий (о росте),高(他个子很高的+),өндөр нуруутай,gao1 (ta1 ge4 zi hen3 gao1 de +),
vn130,vn,short,작다(키가+),"маленький, невысокий (о росте)",矮(个子矮的+),намхан нуруутай,ai3 (ge4 zi ai3 de +),
vn139,vn,"glad, pleased",기쁘다,радостный,高兴(今天我很高兴的+),баяртай байх,gao1 xing4 (jin1 tian1 wo3 hen3 gao1 xing4 de+),
vn140,vn,sad,슬프다,печальный,悲伤(悲伤的眼泪的+),гунигтай байх,bei1 shang1 (bei1 shang1 de yan3 lei4 de +),
vn142,vn,poor,가난하다,бедный,穷(贫穷的+),ядуу,qiong2 (pin2 qiong2 de +),
vn143,vn,rich,부유하다,богатый,富(富有的+),баян,fu4 (fu4 you3 de +),
vn148,vn,right,옳다,"прав(а, ы), верный",对(考题作对了的+),зөв,dui4 (kao3 ti2 zuo4 dui4 le de +),
vn149,vn,wrong,그르다,неверный,不对,буруу,bu2 dui4,
vn152,vn,same,같다,одинаковый,一样,адил,yi2 yang4,
vn154,vn,different,다르다,разный,不同,ондоо,bu4 tong2,
vn155,vn,"else, other",다른/다른 것,другой,別的,өөр,bie2 de,
vn158,vn,unfortunate,불행하다,несчастный,不幸(她生活得很不幸的+),азгүй,bu2 xing4 (ta1 sheng1 huo2 de hen3 bu2 xing4 de +),
vn160,vn,brave,용감하다,"смелый, храбрый",勇敢,эр зоригтой,yong3 gan3,
vn164,vn,fear,무섭다,страшный,害怕,аймаар,hai4 pa4,
vn182,vn,interesting,재미있다,интересный,有意思,сонирхолтой,you3 yi4 si,
vn186,vn,busy,바쁘다,"занят(а, ы)",忙(繁忙的+),завгүй,mang2 (fan2 mang2 de +),
vn187,vn,early,이르다(早),ранний,早(来早了的+),эрт,zao3 (lai2 zao3 le de +),
vn188,vn,late,늦다(시간이+),поздний,晚(时间很晚了的+),орой,wan3 (shi2 jian1 hen3 wan3 le de +),
vn196,vn,"resemble, like",닮다(아버지를+),похожий (на отца),像(他长得像爸爸的+),дуурайх,xiang4 (ta1 zhang3 de xiang4 ba4 ba de+),
vn211,vn,fresh,싱싱하다,свежий (напр. огурец),新鲜,шинэхэн,xin1 xian1,
vm002,vm,dont have,없다(나는 돈이+),У меня нет денег.,没有(我没有钱的+),байхгүй,mei2 you3 (wo3 mei2 you3 qian2 de +),
vm004,vm,not exist (v./adj.),없다(여기 엄마가+),Здесь нет мамы.,不在(妈妈不在的+),байхгүй,bu2 zai4 (ma1ma bu2 zai de +),
vm005,vm,give,주다,давать,給(给礼物的+),өгөх,gei3 (gei3 li3 wu4 de +),
vm006,vm,receive,받다,получать,收(收到的+),авах,shou1 (shou1 dao4 de +),
vm007,vm,"take, get",얻다,достать,得到/获得,олох,de2 dao4 /huo4 de2,
vm009,vm,,보내다,посылать,送(送给的+),явуулах,song4 (song4 gei3 de +),
vm010,vm,do,하다,делать,做(做事情的+),хийх,zuo4 (zuo4 shi4 qing2 de +),
vm011,vm,work,일하다,работать,做事,ажиллах,zuo4 shi4,
vm012,vm,ask for,요청하다/구하다,просить,请求(请求你的+),гуйх,qing3 qiu2 (qing3 qiu2 ni3 de +),
vm022,vm,move(vi),움직이다(바위가+),двигаться,动(石头动了+),хөдлөх,dong4 (shi2 tou dong4 le ),
vm023,vm,like,좋아하다,нравиться,喜欢,дуртай байх,xi3 huan,
vm025,vm,love(v),사랑하다,любить,愛(我爱你的+),хайрлах,ai4 (wo3 ai4 ni3 de +),
vm027,vm,hate,미워하다,ненавидеть,恨(我恨你的+),үзэн ядах,hen4 (wo3 hen4 ni3 de +),
vm028,vm,look,보다(watch),смотреть,看(看电视的+),харах,kan4 (kan4 dian4 shi4 de +),
vm029,vm,listen,듣다(listen),слушать,听(听音乐的+),сонсох,ting1 (ting1 yin1 yue4 de+),
vm030,vm,see,보다/보이다(see),видеть,看见,үзэх,kan4 jian4,
vm031,vm,hear,듣다/들리다(hear),слышать,听见,дуулах,ting1 jian4,
vm034,vm,show,보여주다,показывать,给看(给我看看的+）,"үзүүлэх, харуулах",gei3 kan4 (gei3 wo3 kan4 kan de+),
vm035,vm,think,생각하다,думать,想(我想想的+),бодох,xiang3 (wo3 xiang3 xiang de +),
vm037,vm,teach,가르치다,преподавать,教(教书的+),заах,jiao1 (jiao1 shu1 de +),
vm038,vm,learn,배우다,учиться,學(学习的+),сурах,xue2 (xue2 xi2 de +),
vm039,vm,say,말하다,говорить,说(说话的+),хэлэх,shuo1 (shuo1 hua4 de +),
vm040,vm,write,쓰다,писать,写(写字的+),бичих,xie3 (xie3 zi4 de +),
vm041,vm,read,읽다,читать,读(读课文的+),унших,du2 (du2 ke4 wen2 de +),
vm042,vm,talk/chat (v.),이야기하다,рассказывать,谈话,ярих,tan2 hua4,
vm045,vm,ask,묻다(問),спрашивать,问(提问的+),асуух,wen4 (ti2 wen4 de +),
vm047,vm,know,알다,знать,知道,мэдэх/таних,zhi1 dao,
vm048,vm,don't know,모르다,не знать,不知道,"мэдэхгүй, танихгүй",bu4 zhi1 dao,
vm050,vm,understand,이해하다,понимать,懂(懂了吗的+),ойлгох,dong3 (dong3 le ma de +),
vm053,vm,call,부르다,звать,叫(喊叫的+),дуудах,jiao4 (han4 jiao4 de +),
vm059,vm,count,세다(數),считать (деньги),数(数钱的+),тоолох,shu3(shu3 qian2 de +),
vm064,vm,go,가다,идти,去(去上学的+),"явах, очих",qu4 (qu4 shang4 xue2 de +),
vm066,vm,advance,들어가다,,进去,,jin4 qu4,
vm067,vm,go out of,나오다,,出來,,chu1 lai2,
vm068,vm,go out,나가다,,出去,,chu1 qu4,
vm069,vm,return,돌아오다,возвращаться сюда,回來,буцаж ирэх,hui2 lai2,
vm073,vm,depart (v.),떠나다,,走掉/离,,zou3 diao4 /li2,
vm074,vm,depart (v.),떠나가다,,离开(我要离开他的+),,li2 kai1 (wo3 yao4 li2 kai1 ta1 de +),
vm075,vm,start out/depart,출발하다,отправляться,出发,хөдлөх,chu1 fa1,
vm076,vm,arrive,이르다(着)/도달하다,прибывать,到/到达,хүрэх,dao4 /dao4 da2,
vm080,vm,bring,가져오다,приносить,拿來,авчрах,na2 lai2,
vm083,vm,walk,걷다,идти пешком,走(走路的+),алхах,zou3 (zou3 lu4 de +),
vm084,vm,run,달리다,бежать,跑(跑步的+),гүйх,pao3 (pao3 bu4 de +),
vm088,vm,swim,수영하다,плавать,游泳,(усанд) сэлэх,you2 yong3,
vm089,vm,fly,날다,летать,飞(飞翔的+),нисэх,fei1 (fei1 xiang2 de +),
vm099,vm,,일어서다,,起來,,qi3 lai2,
vm102,vm,sit down,앉다,садиться,坐(请坐的+),суух,zuo4 (qing3 zuo4 de +),
vm104,vm,lie down,눕다,ложиться,躺(躺着的+),хэвтэх,tang3 (tang3 zhe de ),
vm122,vm,desire,원하다,желать,愿意,хүсэх,yuan4 yi,
vm127,vm,starve,굶다,голодать,饿(我饿了的+),өлсөх,e4 (wo3 e4 le de +),
vm128,vm,laugh,웃다,смеяться,笑(他笑了的+),инээх,xiao4 (ta1 xiao4 le+),
vm130,vm,cry,울다(일반적으로),плакать,哭(哭泣的+),уйлах,ku1 (ku1 qi4 de +),
vm134,vm,,쥐다/잡다,держать,抓(用手抓的+),барих,zhua1 (yong4 shou3 zhua1 de +),
vm137,vm,need,필요하다(칼이+),нужен нож,要(我要刀的+),хэрэгтэй,yao4 (wo3 yao4 dao1 de +),
vm140,vm,rest,쉬다,отдыхать,休息,амрах,xiu1 xi,
vm141,vm,sleep,자다,спать,睡(睡觉的+),унтах,shui4 (shui4 jiao4 de +),
vm142,vm,get tired,지치다,устать,累(劳累的+),"ядрах, туйлдах",lei4 (lao2 lei4 de +),
vm162,vm,shear sheep,깎다(양털을+),стричь (овечью шерсть),刮(刮羊毛的+),хяргах,gua1 (gua1 yang2 mao2 de +),
vm171,vm,open door,열다(문을+),открывать (дверь),开(开门的+),"нээх, онгойлгох",kai1 (kai1 men2 de +),
vm172,vm,close door,닫다(문을+),закрывать (дверь),关(关门的+),хаах,guan1 (guan1 men2 de +),
vm175,vm,lock,잠그다,запирать,锁(锁门的+),цоожлох,suo3 (suo3 men2 de +),
vm176,vm,change,바꾸다,изменять,换(交换的+),солих,huan4 (jiao1 huan4 de +),
vm197,vm,press,누르다,нажимать,压(往下压得+),дарах,ya1 (wang3 xia4 ya1 de +),
vm198,vm,fall,떨어지다(낙엽 따위가+),падать (напр. листья),落(掉落的+),унах,luo4 (diao4 luo4 de +),
vm201,vm,cut,썰다/자르다(칼로+),резать (ножом),切(切肉的+),хэрчих,qie1 (qie1 rou4 de +),
vm203,vm,mow,베다(풀을+),"косить (траву, сено)",割(割草的+),хадах,ge1 (ge1 cao3 de +),
vm209,vm,hit,때리다/치다,бить,打(打架的+),цохих,da3 (da3 jia4 de +),
vm210,vm,fight,싸우다,драться,打架,зодолдох,da3 jia4,
vm213,vm,get angry,화내다(행동으로+),сердиться,怒/發火,уурлах,nu4 /fa1 huo3,
vm215,vm,be surprised,놀라다,удивляться,惊/惊吓,цочих,jing1 /jing1 xia4,
vm222,vm,begin(vt),시작하다,начинать,开始(我开始做作业了的+),(ажлаа) эхлэх,kai1 shi3 (wo3 kai1 shi3 zuo4 zuo4 ye4 le de +),
vm223,vm,finish,마치다,кончать (напр. работу),終/結束,дуусгах,zhong1 /jie2 shu4,
vm225,vm,continue,계속하다(대화를+),продолжать,继续(继续说话),үргэлжүүлэх,ji4 xu4 (ji4 xu4 shuo1 hua4),
vm230,vm,bite (v. animal),물다(동물이+),кусать (животное),咬(狗咬着骨头的+)),урах,yao3 (gou3 yao3 zhe gu3 tou de +),
vm234,vm,catch,잡다/포획하다,поймать,捉(捉住的+),барих,zhuo1 (zhuo1 zhu4 de +),
vm237,vm,tie up,묶다,,捆绑/系,боох,kun3 bang3 /ji4,
vm238,vm,tie/fasten,매다,,系(系腰带的+),уях,ji4 (ji4 yao1 dai4 de +),
vm239,vm,untie,풀다,развязывать,解开,задлах,jie3 kai1,
vm246,vm,burn(vt),태우다,сжигать,燒(烧纸的+),шатаах,shao1 (shao1 zhi3 de +),
vm262,vm,separate,나누다/분리하다,разделять,分离／分开,хуваах,fen1 li2 /fen1 kai1,
vm267,vm,meet,만나다(약속해서+),встречаться,见面,уулзах,jian4 mian4,
vm268,vm,meet,만나다(우연히+),встречать (случайно),遇見,тааралдах,yu4 jian4,
vm269,vm,dream a dream,꾸다(꿈을+),видеть сон,做(做夢的+),зүүдлэх,zuo4 (zuo4 meng4 de +),
vm270,vm,dream,꿈,сон (напр. страшный сон),夢(做梦的+),зүүд,meng4 (zuo4 meng4 de +),
vm279,vm,trouble,고장(故障)나다,"выйти из строя, сломаться",出故障,эвдрэх,chu1 gu4 zhang4,
vm285,vm,chew,씹다,жевать,嚼(嚼食物的+),зажлах,jiao2 (jiao2 shi2 wu4 de +),
vm290,vm,smell(vt),맡다(냄새를+),нюхать,闻(闻味儿的+),үнэрлэх,wen2 (wen2 wei4r de +),
vm291,vm,touch,만지다,трогать,摸(抚摸的+),гар хүрэх,mo1 (fu3 mo1 de +),
vm300,vm,pick,뜯다/따다(열매를+),рвать (напр. ягоды),采/摘(采果子的+),түүх,cai3/zhai1(cai3 guo3 zi de +),
vm302,vm,throw,던지다,бросать,擲/扔,шидэх,zhi4 /reng1,
